NUMCLIENT,CAT,NOM,PRENOM,ADR3,CPOST,VILLE,PAYS,
1,Très Fidèle,Bertin,Joe,2 rue Julien Merle,04700,Oraison,France,
2,Très Fidèle,Lepine,Xavier,128 Boulevard Raspail,75006,Paris,France,
3,Fidèle,Guijarro,Remi,413 avenue Gaston Berger,13625,Aix-en-Provence,France,
4,Peu Fidèle, Dupont, David, 1 Place de la Comédie,69001,Lyon,France,
5,Fidèle,Bonnamy,Andreas,31 avenue Jules Ferry,13100,Aix-en-Provence,France,
6,Fidèle,Dupont,Jean-Charles,81 Cours Saint-Louis,33300,Bordeaux,France,
7,Fidèle,Dupont,Jeanne,La Couronne,14330,Lison,France,
9,Peu Fidèle,Durand,Marc,31 Rue des Serruriers,67000,Strasbourg,France,
10,Très Fidèle,Dumont,Christine,31 Allée Jules Guesde,31400,Toulouse,France,
11,Fidèle,Durand,Christophe,1 Quai Eugène Meslin,14000,Caen,France,
12,Fidèle,Ferari,Ursula,132 Boulevard Danielle Casanova,13014,Marseille,France,
13,Fidèle,Delmon,Alexandre,1 Avenue Maréchal Leclerc,63800,Cournon-d'Auvergne,France,
14,Fidèle,Garcia,Patrick,19 Rue de Gand,59800,Lille,France,
15,Fidèle,Aloca,Xavier, 10 Place de la Bourse,33000,Bordeaux,France,
16,Fidèle,Rottat,José, 1 Avenue Édouard VII,64000,Pau,France,
